key,status,detail
"181.792710,0.135060",ok,ok   oid=422216300030293 n=288 ra=181.7927 dec=0.1351
"181.470340,33.572460",ok,ok   oid=671210300007288 n=603 ra=181.4703 dec=33.5725
"180.441540,35.422910",skip,skip ra=180.4415 dec=35.4229 (n=0)
"181.199640,17.049120",skip,skip ra=181.1996 dec=17.0491 (n=23)
"182.638790,-1.298780",ok,ok   oid=422212100004846 n=285 ra=182.6388 dec=-1.2988
"181.993000,22.284370",ok,ok   oid=575214100010461 n=471 ra=181.9930 dec=22.2844
"181.521550,35.640290",ok,ok   oid=671214300012956 n=959 ra=181.5215 dec=35.6403
"182.787600,49.676020",skip,skip ra=182.7876 dec=49.6760 (n=0)
"182.103680,29.331300",ok,ok   oid=624214100020431 n=140 ra=182.1037 dec=29.3313
"183.694890,0.935060",skip,skip ra=183.6949 dec=0.9351 (n=0)
"182.893630,38.899740",ok,ok   oid=715207400007483 n=216 ra=182.8936 dec=38.8997
"183.355810,57.169300",ok,ok   oid=789214400004892 n=691 ra=183.3558 dec=57.1693
"181.824220,36.800270",ok,ok   oid=671214100002021 n=991 ra=181.8242 dec=36.8003
"182.929380,60.609710",ok,ok   oid=819206400003638 n=717 ra=182.9294 dec=60.6097
"184.631200,42.112360",ok,ok   oid=715210200002628 n=681 ra=184.6312 dec=42.1124
"146.951180,7.573440",skip,skip ra=146.9512 dec=7.5734 (n=64)
"184.267010,33.593290",skip,skip ra=184.2670 dec=33.5933 (n=1)
"184.071360,56.851440",ok,ok   oid=1824207300023590 n=221 ra=184.0714 dec=56.8514
"184.612170,46.947950",ok,ok   oid=755207100014470 n=630 ra=184.6122 dec=46.9479
"185.076840,6.688780",skip,skip ra=185.0768 dec=6.6888 (n=28)
"185.200020,36.469680",skip,skip ra=185.2000 dec=36.4697 (n=95)
"186.661140,-0.187250",skip,skip ra=186.6611 dec=-0.1872 (n=8)
"186.864490,-1.366160",skip,skip ra=186.8645 dec=-1.3662 (n=97)
"186.128340,36.438550",ok,ok   oid=672215200023411 n=380 ra=186.1283 dec=36.4385
"186.306980,60.894380",ok,ok   oid=819205400001150 n=780 ra=186.3070 dec=60.8944
"188.496370,8.703230",skip,skip ra=188.4964 dec=8.7032 (n=26)
"188.093180,1.722290",skip,skip ra=188.0932 dec=1.7223 (n=26)
"188.366760,65.930000",ok,ok   oid=844204300034123 n=829 ra=188.3668 dec=65.9300
"189.522000,59.729050",ok,ok   oid=1824210100018546 n=201 ra=189.5220 dec=59.7291
"185.955420,2.246990",ok,ok   oid=473202200017466 n=536 ra=185.9554 dec=2.2470
"188.219240,32.795850",ok,ok   oid=672207100009104 n=420 ra=188.2192 dec=32.7959
"189.714790,49.346720",ok,ok   oid=756212200001069 n=864 ra=189.7148 dec=49.3467
"190.958400,2.040290",ok,ok   oid=474203200015943 n=249 ra=190.9584 dec=2.0403
"190.808450,58.746040",ok,ok   oid=820203300004386 n=802 ra=190.8084 dec=58.7460
"190.808270,50.183280",ok,ok   oid=756216400003637 n=364 ra=190.8083 dec=50.1833
"185.575960,1.482520",ok,ok   oid=473202300003428 n=123 ra=185.5760 dec=1.4825
"189.022040,44.557770",ok,ok   oid=755201300015134 n=563 ra=189.0220 dec=44.5578
"191.813790,67.824780",ok,ok   oid=844208400003152 n=833 ra=191.8138 dec=67.8248
"191.452450,34.863720",ok,ok   oid=672209200020437 n=623 ra=191.4524 dec=34.8637
"189.813850,53.237290",ok,ok   oid=790207300015368 n=791 ra=189.8139 dec=53.2373
"192.672940,-0.090430",ok,ok   oid=423214300013880 n=342 ra=192.6729 dec=-0.0904
"192.522350,4.266560",ok,ok   oid=474206200001413 n=352 ra=192.5223 dec=4.2666
"193.938950,23.396670",skip,skip ra=193.9390 dec=23.3967 (n=5)
"192.054790,62.416580",skip,skip ra=192.0548 dec=62.4166 (n=3)
"193.546560,49.901310",ok,ok   oid=756215400018879 n=301 ra=193.5466 dec=49.9013
"193.515780,49.248010",ok,ok   oid=756211200010908 n=1026 ra=193.5158 dec=49.2480
"195.736370,31.455460",skip,skip ra=195.7364 dec=31.4555 (n=33)
"193.335490,46.449580",ok,ok   oid=756207300003882 n=715 ra=193.3355 dec=46.4496
"195.102980,-2.485010",ok,ok   oid=423209400007066 n=346 ra=195.1030 dec=-2.4850
"195.263180,35.376820",ok,ok   oid=673215400017079 n=589 ra=195.2632 dec=35.3768
"192.270870,35.598140",ok,ok   oid=673216300019864 n=121 ra=192.2709 dec=35.5981
"194.819770,55.252000",ok,ok   oid=790209300032050 n=684 ra=194.8198 dec=55.2520
"193.692860,38.086070",ok,ok   oid=716202100008921 n=560 ra=193.6929 dec=38.0861
"197.361640,45.715810",ok,ok   oid=756202100007637 n=400 ra=197.3616 dec=45.7158
"196.926200,52.044460",ok,ok   oid=791204200006753 n=806 ra=196.9262 dec=52.0445
"196.467960,0.324540",skip,skip ra=196.4680 dec=0.3245 (n=5)
"199.443140,-2.090620",skip,skip ra=199.4431 dec=-2.0906 (n=80)
"198.145110,-2.761730",ok,ok   oid=424207200000228 n=356 ra=198.1451 dec=-2.7617
